scenario,description,batch_size,num_workers,warmup_steps,measured_steps,setup_s,first_batch_s,mean_batch_s,p50_batch_s,p90_batch_s,p99_batch_s,batches_per_s,samples_per_s,approx_payload_mb,rss_before_mb,rss_after_setup_mb,rss_after_run_mb
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,8,0,5,20,0.17287115199724212,0.3431737660430372,0.046265429595950994,0.03800387747469358,0.06781288299825976,0.10883198609692041,21.614410775675946,172.91528620540757,0.421875,1333.41015625,1340.953125,1505.54296875
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,8,2,5,20,0.016701381013263017,0.10695440700510517,0.008497992804041132,0.007690688013099134,0.018569017481058835,0.01912210591137409,117.67484664431116,941.3987731544893,0.421875,1505.421875,1505.484375,1504.66015625
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,8,4,5,20,0.015864639019127935,0.15434689598623663,0.004556770599447191,4.094099858775735e-05,0.01796928198891692,0.020902575769578106,219.45366310986032,1755.6293048788825,0.421875,1504.57421875,1504.640625,1506.7109375
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,8,8,5,20,0.015789158991537988,0.2466982439509593,0.004895510102505796,3.000549622811377e-05,0.020186249277321624,0.04944297232432286,204.26880530552762,1634.150442444221,0.421875,1506.609375,1506.65625,1510.75390625
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,16,0,5,20,0.01648911798838526,0.12895723502151668,0.24372165544773453,0.09113319998141378,0.5511431503749924,0.9630637612438294,4.103041226118897,65.64865961790235,0.84375,1510.62109375,1510.6640625,1513.921875
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,16,2,5,20,0.01645569398533553,0.12203444901388139,0.0156469415029278,0.015051981958094984,0.03179181521991268,0.032084145853878,63.91025363090182,1022.5640580944291,0.84375,1513.80078125,1513.84765625,1515.67578125
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,16,4,5,20,0.016393698984757066,0.2264430849463679,0.009072469448437915,4.5219523599371314e-05,0.03746706183883362,0.041078222251962865,110.2235731609081,1763.5771705745296,0.84375,1515.58984375,1515.62890625,1519.6796875
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,16,8,5,20,0.017354175972286612,0.27638062700862065,0.005484667807468213,1.9255996448919177e-05,0.03147413301048801,0.042232692168327035,182.32644803726257,2917.223168596201,0.84375,1519.48046875,1519.52734375,1527.62109375
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,32,0,5,20,0.01648325804853812,0.8142216159612872,0.6313584662973881,0.4969341324758716,1.5410189392103348,1.8760426185239334,1.583886260153469,50.684360324911005,1.6875,1527.48828125,1527.53515625,1533.34765625
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,32,2,5,20,0.016087157011497766,0.11115228198468685,0.033409712102729826,0.03424948250176385,0.042840551806148146,0.04757132178172469,29.931416257798055,957.8053202495378,1.6875,1533.2265625,1533.2734375,1533.09375
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,32,4,5,20,0.016426390036940575,0.21509723702911288,0.018683645597775467,4.960596561431885e-05,0.07642784142517485,0.07929937554115896,53.52274505351692,1712.7278417125415,1.6875,1533.0078125,1533.046875,1541.0
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,32,8,5,20,0.017252310004550964,0.3586313290288672,0.011046591692138463,3.0196999432519078e-05,0.045398657774785564,0.07201020374137442,90.52565966674325,2896.821109335784,1.6875,1540.8984375,1540.94140625,1549.04296875
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,64,0,5,20,0.015623454004526138,0.32085216202540323,1.5127075963566312,1.285141789499903,3.0870629200886475,3.812560991126811,0.6610662909398407,42.308242620149805,3.375,1548.91015625,1548.94921875,1560.9140625
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,64,2,5,20,0.01636133500142023,0.1907194549567066,0.07153121139854193,0.07124476254102774,0.10759860607213341,0.10817081158049405,13.979911432345514,894.7143316701129,3.375,1560.79296875,1560.83203125,1560.65234375
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,64,4,5,20,0.016010831983294338,0.24212850403273478,0.04021315119462088,0.04967186550493352,0.0593391353962943,0.06495864064490887,24.867486637897834,1591.5191448254614,3.375,1560.56640625,1560.61328125,1564.62109375
stage1_single_nyu,single-source Stage 1 pair batch on lerobot/nyu_rot_dataset,64,8,5,20,0.016671211051288992,0.26169988902984187,0.025271430594148114,3.9651000406593084e-05,0.14693797628860925,0.16584933606907726,39.57037557784961,2532.504036982375,3.375,1564.46484375,1564.50390625,1584.59375
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,8,0,5,20,0.035948898002970964,0.14582074899226427,0.09678288530849385,0.05020087951561436,0.25022204061388037,0.2774957225809339,10.332405329852653,82.65924263882123,0.421875,1584.4609375,1584.68359375,1593.03515625
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,8,2,5,20,0.03462535300059244,0.09854515199549496,0.01662919794325717,0.012953347497386858,0.03473373780143448,0.0430108728306368,60.13519133106967,481.08153064855736,0.421875,1590.3203125,1590.45703125,1590.4765625
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,8,4,5,20,0.0359103309456259,0.1016014699707739,0.00842724529793486,3.6291981814429164e-05,0.03494089988525957,0.03953398866171482,118.66273789906829,949.3019031925463,0.421875,1590.07421875,1590.19921875,1590.140625
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,8,8,5,20,0.03648729994893074,0.09515156800625846,0.006130964605836198,1.8821010598912835e-05,0.034419335878919814,0.04849025730276479,163.10647088845994,1304.8517671076795,0.421875,1589.953125,1590.078125,1590.1796875
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,16,0,5,20,0.0350911840214394,0.13694629998644814,0.21571221634803806,0.15460698649985716,0.4325412064034027,0.5580076597590231,4.635806061102089,74.17289697763343,0.84375,1589.9609375,1590.0859375,1597.8984375
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,16,2,5,20,0.0349581660120748,0.1268576739821583,0.03104087349784095,0.03174220147775486,0.06006266898475588,0.06429028298880439,32.21558826524502,515.4494122439203,0.84375,1595.18359375,1595.30859375,1595.08984375
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,16,4,5,20,0.03853332600556314,0.12092654599109665,0.015861968902754597,4.5216496801003814e-05,0.0629222413757816,0.07934822455688843,63.043875960842385,1008.7020153734782,0.84375,1594.91796875,1595.04296875,1595.04296875
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,16,8,5,20,0.03520909900544211,0.18321360397385433,0.006485073195653968,1.449597766622901e-05,0.022871329600457128,0.048477106912760054,154.200264180543,2467.204226888688,0.84375,1594.79296875,1594.921875,1595.015625
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,32,0,5,20,0.03427904599811882,0.3228223750484176,0.34034272615099326,0.30204700300237164,0.6043371278210543,0.6412560277059673,2.938214697017939,94.02287030457404,1.6875,1594.796875,1594.921875,1600.00390625
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,32,2,5,20,0.03731166600482538,0.19364000402856618,0.05909364400140475,0.05360474649933167,0.11139738777419553,0.12251901457377243,16.922293706853285,541.5133986193051,1.6875,1597.2890625,1597.41796875,1597.17578125
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,32,4,5,20,0.03532214800361544,0.24268551502609625,0.030997495452174915,0.018397533480310813,0.0793578054464888,0.09209849447186569,32.260670915908975,1032.3414693090872,1.6875,1597.00390625,1597.12890625,1597.23046875
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,32,8,5,20,0.034979179967194796,0.31524140399415046,0.017557621104060672,0.0007477159961126745,0.05980220766505228,0.0754329459328437,56.95532407683197,1822.570370458623,1.6875,1596.875,1597.0,1597.08984375
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,64,0,5,20,0.03655956400325522,0.46076660096878186,0.7358325894980225,0.7003999759908766,1.0881648081296589,1.123337429385283,1.3590047712920539,86.97630536269145,3.375,1596.87109375,1596.99609375,1603.98046875
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,64,2,5,20,0.03396348701789975,0.3306617680354975,0.126918238599319,0.12447292901924811,0.2552413098223042,0.26561037469073195,7.879088230628546,504.26164676022694,3.375,1601.265625,1601.390625,1601.1640625
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,64,4,5,20,0.035678701009601355,0.33448919001966715,0.06736490010225679,0.040038411505520344,0.20526150190853515,0.21047355075832455,14.844525835888517,950.0496534968651,3.375,1600.97265625,1601.09765625,1601.0234375
stage1_mixed_nyu_asu,mixed-source Stage 1 pair batch on lerobot/nyu_rot_dataset + lerobot/asu_table_top,64,8,5,20,0.037208821973763406,0.4372971080010757,0.03894720255048014,3.551700501702726e-05,0.1741117054829374,0.20238463202374984,25.675785024710894,1643.2502415814972,3.375,1600.8359375,1600.9609375,1601.0625
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,8,0,5,20,0.03141123300883919,0.15802683401852846,0.32131266114593016,0.3279847704980057,0.47607807009480896,0.5488078873534686,3.112233412880768,24.897867303046144,0.843780517578125,1600.83203125,1600.96484375,1707.8671875
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,8,2,5,20,0.030899997043889016,0.2664767539827153,0.06856321209925227,0.06350507499882951,0.14046796066104436,0.14687578663229942,14.585080969549642,116.68064775639714,0.843780517578125,1707.4609375,1707.59765625,1707.2890625
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,8,4,5,20,0.030475018022116274,0.2685334180132486,0.037067983704037036,0.03929900302318856,0.07562147093121895,0.09210017334960865,26.97745871435384,215.81966971483072,0.843780517578125,1707.1171875,1707.25390625,1707.1328125
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,8,8,5,20,0.03146097104763612,0.26564974104985595,0.02148323969449848,6.369999027810991e-05,0.07845360843930393,0.08299373833462595,46.54791429134798,372.38331433078383,0.843780517578125,1706.9296875,1707.0546875,1707.14453125
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,16,0,5,20,0.03099519800161943,0.4501526129897684,0.663611695097643,0.730753038515104,0.9233998710755259,0.9883386364555917,1.5069053294078267,24.110485270525228,1.68756103515625,1706.92578125,1707.05078125,1717.02734375
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,16,2,5,20,0.030726413999218494,0.35521267395233735,0.1368037722480949,0.13607127050636336,0.2011599941935856,0.2053059642435983,7.30973995502471,116.95583928039537,1.68756103515625,1716.58203125,1716.70703125,1716.4609375
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,16,4,5,20,0.03135106700938195,0.42809232498984784,0.073678354191361,0.03684806701494381,0.21244465711060911,0.23373688976047557,13.572507298449576,217.16011677519322,1.68756103515625,1716.2890625,1716.4140625,1716.33984375
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,16,8,5,20,0.0314524209825322,0.3475340819568373,0.03233897670870647,4.029148840345442e-05,0.13449742418597455,0.17835914663213767,30.922437930164154,494.75900688262647,1.68756103515625,1716.15234375,1716.27734375,1716.3671875
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,32,0,5,20,0.032709018036257476,1.1500250340322964,1.3734654673491604,1.3721831344882958,1.9550422422005798,2.2985522451938594,0.7280852877430092,23.298729207776294,3.3751220703125,1716.1484375,1716.2734375,1723.4453125
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,32,2,5,20,0.030833341006655246,0.6215284829959273,0.318512820158503,0.3217186964757275,0.6485952124290634,0.6555317463207757,3.139591051632915,100.46691365225328,3.3751220703125,1723.0078125,1723.1328125,1722.88671875
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,32,4,5,20,0.03142520703841001,0.7369307920453139,0.13943803795264104,0.07596186999580823,0.3594573595211842,0.4119947359082289,7.171644227665063,229.49261528528203,3.3751220703125,1722.71484375,1722.83984375,1722.765625
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,32,8,5,20,0.030486090981867164,0.9516641219961457,0.09171298400615342,3.869200008921325e-05,0.5574600211868528,0.5806935917108785,10.903581546675067,348.91460949360214,3.3751220703125,1722.578125,1722.703125,1722.796875
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,64,0,5,20,0.03292058495571837,2.7199562250170857,2.6023268952965735,2.63227829549578,3.27522189700976,3.6786675549787464,0.38427147711818704,24.59337453556397,6.750244140625,1722.578125,1722.703125,1733.24609375
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,64,2,5,20,0.031291025050450116,1.2066777659929357,0.5971178477397189,0.5659357879776508,1.1341603957116604,1.158607476032921,1.6747112882077104,107.18152244529347,6.750244140625,1732.80859375,1732.93359375,1732.6875
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,64,4,5,20,0.031258108967449516,1.253953026025556,0.29429488874447995,0.1629545484611299,0.86943938745535,1.0495915133872766,3.3979523200902237,217.46894848577432,6.750244140625,1732.515625,1732.64453125,1732.5703125
stage1_multicamera_cmu,single-source Stage 1 multicamera pair batch on lerobot/cmu_franka_exploration_dataset,64,8,5,20,0.030857626989018172,1.6039500590413809,0.20382917425013147,0.00016725697787478566,1.12914282772108,1.2661270101962145,4.906069033929548,313.98841817149105,6.750244140625,1732.3828125,1732.51953125,1732.61328125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,8,0,5,20,0.01691312197363004,0.06083511601900682,0.09230362640228122,0.04295278899371624,0.25188540839590146,0.33781184218940324,10.833810533529435,86.67048426823548,0.4256439208984375,1732.39453125,1732.43359375,1717.953125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,8,2,5,20,0.015498973021749407,0.06897186499554664,0.012586439357255586,0.010930746997473761,0.026739447319414467,0.028036716118222102,79.45058738343974,635.6046990675179,0.4256439208984375,1717.83203125,1717.87109375,1717.70703125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,8,4,5,20,0.017534571001306176,0.2220154019887559,0.006278472798294387,5.0217495299875736e-05,0.02450136342085898,0.027396570006385443,159.2744019328491,1274.1952154627927,0.4256439208984375,1717.60546875,1717.64453125,1717.59765625
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,8,8,5,20,0.015757408982608467,0.11262398201506585,0.0026689014543080703,2.8516980819404125e-05,0.002371494210092383,0.028528930880129328,374.6859961374094,2997.4879690992752,0.4256439208984375,1717.49609375,1717.53515625,1717.625
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,16,0,5,20,0.015988847007974982,0.3989448010106571,0.25390382345067336,0.24270167300710455,0.40801319915917705,0.5883100016537353,3.9384991781908827,63.01598685105412,0.851287841796875,1717.4921875,1717.53125,1717.95703125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,16,2,5,20,0.015666007006075233,0.09119892300805077,0.02388652529625688,0.02240454198908992,0.05063990162452683,0.053886023291852325,41.86460724602353,669.8337159363765,0.851287841796875,1717.8359375,1717.875,1717.6953125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,16,4,5,20,0.018205636995844543,0.1419883570051752,0.012621518198284321,4.661802086047828e-05,0.05042156185954809,0.05173108058981597,79.2297712755295,1267.676340408472,0.851287841796875,1717.609375,1717.6484375,1717.64453125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,16,8,5,20,0.01758278498891741,0.44135765597457066,0.007415409793611616,2.0776031306013465e-05,0.04446465129731223,0.05475720626884139,134.85431389934797,2157.6690223895675,0.851287841796875,1717.5,1717.5390625,1717.64453125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,32,0,5,20,0.016041350027080625,0.2872779260505922,0.510550680293818,0.31252765003591776,1.1323123548761944,1.4509911668451965,1.9586694104971276,62.677421135908084,1.70257568359375,1717.5,1717.5390625,1717.95703125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,32,2,5,20,0.017086712003219873,0.19722117198398337,0.047908232957706784,0.04429191802046262,0.09803341970546171,0.1023343970766291,20.873239071096535,667.9436502750891,1.70257568359375,1717.8359375,1717.875,1717.6953125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,32,4,5,20,0.01756788999773562,0.18925943202339113,0.025441476303967647,0.02117767950403504,0.05825337547576055,0.061657954979455094,39.30589514744661,1257.7886447182916,1.70257568359375,1717.609375,1717.6484375,1717.6015625
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,32,8,5,20,0.017816804989706725,0.19385129504371434,0.015348714790889062,3.342900890856981e-05,0.09355045520933346,0.10989113465126137,65.15203478753779,2084.865113201209,1.70257568359375,1717.5,1717.5390625,1717.62890625
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,64,0,5,20,0.017336029035504907,1.6904478940414265,1.1304792995011668,0.907240455475403,1.8200998089334461,2.014904281451017,0.8845805495432408,56.61315517076741,3.4051513671875,1717.49609375,1717.53515625,1720.42578125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,64,2,5,20,0.01740691700251773,0.23612261598464102,0.09239007599826436,0.09163123203325085,0.13758044388960117,0.1439650427585002,10.823673313341423,692.7150920538511,3.4051513671875,1720.3046875,1720.34375,1720.1640625
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,64,4,5,20,0.015933802991639823,0.2954376370180398,0.04924715814704541,0.04561041548731737,0.10256838945206255,0.10711977552564349,20.30574022188517,1299.5673742006509,3.4051513671875,1720.078125,1720.1171875,1720.0703125
stage2_nyu,single-source Stage 2-style foundation batch on lerobot/nyu_rot_dataset,64,8,5,20,0.016496667987667024,0.4168612629873678,0.030946002743439747,5.12555125169456e-05,0.13283430890878664,0.15368145025742705,32.31435117131534,2068.1184749641816,3.4051513671875,1719.96875,1720.0078125,1720.1015625
